Segment,Segment_Name,Type,Example,Pain_Points,Potential_Value,Bucket
A,Instagram+WhatsApp Sellers,Clothing stores,Clothing boutiques on Instagram/WhatsApp,"Order tracking in chats, Inventory confusion, Customer follow-ups, Manual marketing",Very High,Instagram WhatsApp Sellers
A,Instagram+WhatsApp Sellers,Jewelry sellers,Jewelry artisans on WhatsApp,"Order tracking in chats, Inventory confusion, Customer follow-ups, Manual marketing",Very High,Instagram WhatsApp Sellers
A,Instagram+WhatsApp Sellers,Home decor sellers,Home decor Instagram sellers,"Order tracking in chats, Inventory confusion, Customer follow-ups, Manual marketing",Very High,Instagram WhatsApp Sellers
A,Instagram+WhatsApp Sellers,Fashion boutiques,Local fashion on Instagram,"Order tracking in chats, Inventory confusion, Customer follow-ups, Manual marketing",Very High,Instagram WhatsApp Sellers
A,Instagram+WhatsApp Sellers,Beauty products,Skincare WhatsApp sellers,"Order tracking in chats, Inventory confusion, Customer follow-ups, Manual marketing",Very High,Instagram WhatsApp Sellers
A,Instagram+WhatsApp Sellers,Sports accessories,Sports gear Instagram sellers,"Order tracking in chats, Inventory confusion, Customer follow-ups, Manual marketing",Very High,Instagram WhatsApp Sellers
A,Instagram+WhatsApp Sellers,Handmade crafts,Artisan craft sellers on WhatsApp,"Order tracking in chats, Inventory confusion, Customer follow-ups, Manual marketing",Very High,Instagram WhatsApp Sellers
A,Instagram+WhatsApp Sellers,Leather goods,Leather bags Instagram sellers,"Order tracking in chats, Inventory confusion, Customer follow-ups, Manual marketing",Very High,Instagram WhatsApp Sellers
A,Instagram+WhatsApp Sellers,Sunglasses,Eyewear Instagram boutiques,"Order tracking in chats, Inventory confusion, Customer follow-ups, Manual marketing",Very High,Instagram WhatsApp Sellers
A,Instagram+WhatsApp Sellers,Watches,Watch resellers on WhatsApp,"Order tracking in chats, Inventory confusion, Customer follow-ups, Manual marketing",Very High,Instagram WhatsApp Sellers
A,Instagram+WhatsApp Sellers,Bags & purses,Bag sellers on Instagram,"Order tracking in chats, Inventory confusion, Customer follow-ups, Manual marketing",Very High,Instagram WhatsApp Sellers
A,Instagram+WhatsApp Sellers,Scarves,Scarf/dupatta Instagram sellers,"Order tracking in chats, Inventory confusion, Customer follow-ups, Manual marketing",Very High,Instagram WhatsApp Sellers
