Interview_ID,Respondent_Type,Question,Response,Key_Finding,Automation_Value,Time_Spent_Hours,Mistake_Frequency
INT-1,Merchant,How do you currently manage orders?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-2,D2C Brand,Where do orders come in (WhatsApp / Instagram / phone)?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-3,WhatsApp Seller,How do you track inventory?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-4,Merchant,Do you have real-time inventory sync?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-5,D2C Brand,What takes the most time every day?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-6,WhatsApp Seller,How many hours do you spend on order follow-ups?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-7,Merchant,What mistakes happen frequently?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-8,D2C Brand,Do you send wrong items or wrong prices?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-9,WhatsApp Seller,What software do you pay for?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-10,Merchant,How much do you spend monthly on tools?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-11,D2C Brand,What do you hate about your current setup?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-12,WhatsApp Seller,What feature do you use least?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-13,Merchant,If one task disappeared tomorrow what would you choose?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-14,D2C Brand,How do you currently manage orders?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-15,WhatsApp Seller,Where do orders come in (WhatsApp / Instagram / phone)?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-16,Merchant,How do you track inventory?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-17,D2C Brand,Do you have real-time inventory sync?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-18,WhatsApp Seller,What takes the most time every day?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-19,Merchant,How many hours do you spend on order follow-ups?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-20,D2C Brand,What mistakes happen frequently?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-21,WhatsApp Seller,Do you send wrong items or wrong prices?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-22,Merchant,What software do you pay for?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-23,D2C Brand,How much do you spend monthly on tools?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-24,WhatsApp Seller,What do you hate about your current setup?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-25,Merchant,What feature do you use least?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-26,D2C Brand,If one task disappeared tomorrow what would you choose?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-27,WhatsApp Seller,How do you currently manage orders?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-28,Merchant,Where do orders come in (WhatsApp / Instagram / phone)?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-29,D2C Brand,How do you track inventory?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-30,WhatsApp Seller,Do you have real-time inventory sync?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-31,Merchant,What takes the most time every day?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-32,D2C Brand,How many hours do you spend on order follow-ups?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-33,WhatsApp Seller,What mistakes happen frequently?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-34,Merchant,Do you send wrong items or wrong prices?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-35,D2C Brand,What software do you pay for?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-36,WhatsApp Seller,How much do you spend monthly on tools?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-37,Merchant,What do you hate about your current setup?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-38,D2C Brand,What feature do you use least?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-39,WhatsApp Seller,If one task disappeared tomorrow what would you choose?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
INT-40,Merchant,How do you currently manage orders?,Collect during interview,To be filled after interview,To be assessed,To be recorded,To be assessed
